DATE,HOMETEAM,AWAYTEAM,FTHG,FTAG,FTTG,Result
12/17/2017,Crotone,Chievo,1,0,1,1
12/17/2017,Fiorentina,Genoa,0,0,0,0
12/17/2017,Sampdoria,Sassuolo,0,1,1,0
12/17/2017,Verona,Milan,3,0,3,1
12/22/2017,Cagliari,Fiorentina,0,1,1,0
12/22/2017,Chievo,Bologna,2,3,5,0
12/23/2017,Genoa,Benevento,1,0,1,1
12/23/2017,Juventus,Roma,1,0,1,1
12/23/2017,Lazio,Crotone,4,0,4,1
12/23/2017,Milan,Atalanta,0,2,2,0
12/23/2017,Napoli,Sampdoria,3,2,5,1
12/23/2017,Sassuolo,Inter,1,0,1,1
12/23/2017,Spal,Torino,2,2,4,0
12/23/2017,Udinese,Verona,4,0,4,1
12/29/2017,Crotone,Napoli,0,1,1,0
12/30/2017,Atalanta,Cagliari,1,2,3,0
12/30/2017,Benevento,Chievo,1,0,1,1
12/30/2017,Bologna,Udinese,1,2,3,0
12/30/2017,Fiorentina,Milan,1,1,2,0
12/30/2017,Inter,Lazio,0,0,0,0
12/30/2017,Roma,Sassuolo,1,1,2,0
12/30/2017,Sampdoria,Spal,2,0,2,1
12/30/2017,Torino,Genoa,0,0,0,0
12/30/2017,Verona,Juventus,1,3,4,0
1/5/2018,Chievo,Udinese,1,1,2,0
1/5/2018,Fiorentina,Inter,1,1,2,0
1/6/2018,Benevento,Sampdoria,3,2,5,1
1/6/2018,Cagliari,Juventus,0,1,1,0
1/6/2018,Genoa,Sassuolo,1,0,1,1
1/6/2018,Milan,Crotone,1,0,1,1
1/6/2018,Napoli,Verona,2,0,2,1
1/6/2018,Roma,Atalanta,1,2,3,0
1/6/2018,Spal,Lazio,2,5,7,0
1/6/2018,Torino,Bologna,3,0,3,1
1/21/2018,Atalanta,Napoli,0,1,1,0
1/21/2018,Bologna,Benevento,3,0,3,1
1/21/2018,Cagliari,Milan,1,2,3,0
1/21/2018,Inter,Roma,1,1,2,0
1/21/2018,Lazio,Chievo,5,1,6,1
1/21/2018,Sampdoria,Fiorentina,3,1,4,1
1/21/2018,Sassuolo,Torino,1,1,2,0
1/21/2018,Udinese,Spal,1,1,2,0
1/21/2018,Verona,Crotone,0,3,3,0
1/22/2018,Juventus,Genoa,1,0,1,1
1/24/2018,Lazio,Udinese,3,0,3,1
1/24/2018,Sampdoria,Roma,1,1,2,0
1/27/2018,Chievo,Juventus,0,2,2,0
1/27/2018,Sassuolo,Atalanta,0,3,3,0
1/28/2018,Crotone,Cagliari,1,1,2,0
1/28/2018,Fiorentina,Verona,1,4,5,0
1/28/2018,Genoa,Udinese,0,1,1,0
1/28/2018,Milan,Lazio,2,1,3,1
1/28/2018,Napoli,Bologna,3,1,4,1
1/28/2018,Roma,Sampdoria,0,1,1,0
1/28/2018,Spal,Inter,1,1,2,0
1/28/2018,Torino,Benevento,3,0,3,1
2/3/2018,Inter,Crotone,1,1,2,0
2/3/2018,Sampdoria,Torino,1,1,2,0
2/4/2018,Atalanta,Chievo,1,0,1,1
2/4/2018,Benevento,Napoli,0,2,2,0
2/4/2018,Bologna,Fiorentina,1,2,3,0
2/4/2018,Cagliari,Spal,2,0,2,1
2/4/2018,Juventus,Sassuolo,7,0,7,1
2/4/2018,Udinese,Milan,1,1,2,0
2/4/2018,Verona,Roma,0,1,1,0
2/5/2018,Lazio,Genoa,1,2,3,0
2/9/2018,Fiorentina,Juventus,0,2,2,0
2/10/2018,Crotone,Atalanta,1,1,2,0
2/10/2018,Napoli,Lazio,4,1,5,1
2/10/2018,Spal,Milan,0,4,4,0
2/11/2018,Chievo,Genoa,0,1,1,0
2/11/2018,Inter,Bologna,2,1,3,1
2/11/2018,Roma,Benevento,5,2,7,1
2/11/2018,Sampdoria,Verona,2,0,2,1
2/11/2018,Sassuolo,Cagliari,0,0,0,0
2/11/2018,Torino,Udinese,2,0,2,1
2/17/2018,Chievo,Cagliari,2,1,3,1
2/17/2018,Genoa,Inter,2,0,2,1
2/17/2018,Udinese,Roma,0,2,2,0
2/18/2018,Atalanta,Fiorentina,1,1,2,0
2/18/2018,Benevento,Crotone,3,2,5,1
2/18/2018,Bologna,Sassuolo,2,1,3,1
2/18/2018,Milan,Sampdoria,1,0,1,1
2/18/2018,Napoli,Spal,1,0,1,1
2/18/2018,Torino,Juventus,0,1,1,0
2/19/2018,Lazio,Verona,2,0,2,1
2/24/2018,Bologna,Genoa,2,0,2,1
2/24/2018,Inter,Benevento,2,0,2,1
2/25/2018,Crotone,Spal,2,3,5,0
2/25/2018,Fiorentina,Chievo,1,0,1,1
2/25/2018,Roma,Milan,0,2,2,0
2/25/2018,Sampdoria,Udinese,2,1,3,1
2/25/2018,Sassuolo,Lazio,0,3,3,0
2/25/2018,Verona,Torino,2,1,3,1
2/26/2018,Cagliari,Napoli,0,5,5,0
3/3/2018,Lazio,Juventus,0,1,1,0
3/3/2018,Napoli,Roma,2,4,6,0
3/3/2018,Spal,Bologna,1,0,1,1
3/9/2018,Roma,Torino,3,0,3,1
3/10/2018,Verona,Chievo,1,0,1,1
3/11/2018,Bologna,Atalanta,0,1,1,0
3/11/2018,Cagliari,Lazio,2,2,4,0
3/11/2018,Crotone,Sampdoria,4,1,5,1
3/11/2018,Fiorentina,Benevento,1,0,1,1
3/11/2018,Genoa,Milan,0,1,1,0
3/11/2018,Inter,Napoli,0,0,0,0
3/11/2018,Juventus,Udinese,2,0,2,1
3/11/2018,Sassuolo,Spal,1,1,2,0
3/14/2018,Juventus,Atalanta,2,0,2,1
3/17/2018,Spal,Juventus,0,0,0,0
3/17/2018,Udinese,Sassuolo,1,2,3,0
3/18/2018,Benevento,Cagliari,1,2,3,0
3/18/2018,Crotone,Roma,0,2,2,0
3/18/2018,Lazio,Bologna,1,1,2,0
3/18/2018,Milan,Chievo,3,2,5,1
3/18/2018,Napoli,Genoa,1,0,1,1
3/18/2018,Sampdoria,Inter,0,5,5,0
3/18/2018,Torino,Fiorentina,1,2,3,0
3/18/2018,Verona,Atalanta,0,5,5,0
3/31/2018,Atalanta,Udinese,2,0,2,1
3/31/2018,Bologna,Roma,1,1,2,0
3/31/2018,Cagliari,Torino,0,4,4,0
3/31/2018,Chievo,Sampdoria,2,1,3,1
3/31/2018,Fiorentina,Crotone,2,0,2,1
3/31/2018,Genoa,Spal,1,1,2,0
3/31/2018,Inter,Verona,3,0,3,1
3/31/2018,Juventus,Milan,3,1,4,1
3/31/2018,Lazio,Benevento,6,2,8,1
3/31/2018,Sassuolo,Napoli,1,1,2,0
4/3/2018,Atalanta,Sampdoria,1,2,3,0
4/3/2018,Genoa,Cagliari,2,1,3,1
4/3/2018,Udinese,Fiorentina,0,2,2,0
4/4/2018,Benevento,Verona,3,0,3,1
4/4/2018,Chievo,Sassuolo,1,1,2,0
4/4/2018,Milan,Inter,0,0,0,0
4/4/2018,Torino,Crotone,4,1,5,1
4/7/2018,Benevento,Juventus,2,4,6,0
4/7/2018,Roma,Fiorentina,0,2,2,0
4/7/2018,Sampdoria,Genoa,0,0,0,0
4/7/2018,Spal,Atalanta,1,1,2,0
4/8/2018,Crotone,Bologna,1,0,1,1
4/8/2018,Milan,Sassuolo,1,1,2,0
4/8/2018,Napoli,Chievo,2,1,3,1
4/8/2018,Torino,Inter,1,0,1,1
4/8/2018,Udinese,Lazio,1,2,3,0
4/8/2018,Verona,Cagliari,1,0,1,1
4/14/2018,Atalanta,Inter,0,0,0,0
4/14/2018,Cagliari,Udinese,2,1,3,1
4/14/2018,Chievo,Torino,0,0,0,0
4/14/2018,Genoa,Crotone,1,0,1,1
4/15/2018,Bologna,Verona,2,0,2,1
4/15/2018,Fiorentina,Spal,0,0,0,0
4/15/2018,Juventus,Sampdoria,3,0,3,1
4/15/2018,Lazio,Roma,0,0,0,0
4/15/2018,Milan,Napoli,0,0,0,0
4/15/2018,Sassuolo,Benevento,2,2,4,0
4/17/2018,Inter,Cagliari,4,0,4,1
4/18/2018,Benevento,Atalanta,0,3,3,0
4/18/2018,Crotone,Juventus,1,1,2,0
4/18/2018,Fiorentina,Lazio,3,4,7,0
4/18/2018,Napoli,Udinese,4,2,6,1
4/18/2018,Roma,Genoa,2,1,3,1
4/18/2018,Sampdoria,Bologna,1,0,1,1
4/18/2018,Spal,Chievo,0,0,0,0
4/18/2018,Torino,Milan,1,1,2,0
4/18/2018,Verona,Sassuolo,0,1,1,0
4/21/2018,Milan,Benevento,0,1,1,0
4/21/2018,Sassuolo,Fiorentina,1,0,1,1
4/21/2018,Spal,Roma,0,3,3,0
4/22/2018,Atalanta,Torino,2,1,3,1
4/22/2018,Cagliari,Bologna,0,0,0,0
4/22/2018,Chievo,Inter,1,2,3,0
4/22/2018,Juventus,Napoli,0,1,1,0
4/22/2018,Lazio,Sampdoria,4,0,4,1
4/22/2018,Udinese,Crotone,1,2,3,0
4/23/2018,Genoa,Verona,3,1,4,1
4/28/2018,Inter,Juventus,2,3,5,0
4/28/2018,Roma,Chievo,4,1,5,1
4/29/2018,Atalanta,Genoa,3,1,4,1
4/29/2018,Benevento,Udinese,3,3,6,0
4/29/2018,Bologna,Milan,1,2,3,0
4/29/2018,Crotone,Sassuolo,4,1,5,1
4/29/2018,Fiorentina,Napoli,3,0,3,1
4/29/2018,Sampdoria,Cagliari,4,1,5,1
4/29/2018,Torino,Lazio,0,1,1,0
4/29/2018,Verona,Spal,1,3,4,0
5/5/2018,Juventus,Bologna,3,1,4,1
5/5/2018,Milan,Verona,4,1,5,1
5/6/2018,Cagliari,Roma,0,1,1,0
5/6/2018,Chievo,Crotone,2,1,3,1
5/6/2018,Genoa,Fiorentina,2,3,5,0
5/6/2018,Lazio,Atalanta,1,1,2,0
5/6/2018,Napoli,Torino,2,2,4,0
5/6/2018,Sassuolo,Sampdoria,1,0,1,1
5/6/2018,Spal,Benevento,2,0,2,1
5/6/2018,Udinese,Inter,0,4,4,0
5/12/2018,Benevento,Genoa,1,0,1,1
5/12/2018,Inter,Sassuolo,1,2,3,0
5/13/2018,Atalanta,Milan,1,1,2,0
5/13/2018,Bologna,Chievo,1,2,3,0
5/13/2018,Crotone,Lazio,2,2,4,0
5/13/2018,Fiorentina,Cagliari,0,1,1,0
5/13/2018,Roma,Juventus,0,0,0,0
5/13/2018,Sampdoria,Napoli,0,2,2,0
5/13/2018,Torino,Spal,2,1,3,1
5/13/2018,Verona,Udinese,0,1,1,0
5/19/2018,Juventus,Verona,2,1,3,1
5/20/2018,Cagliari,Atalanta,1,0,1,1
5/20/2018,Chievo,Benevento,1,0,1,1
5/20/2018,Genoa,Torino,1,2,3,0
5/20/2018,Lazio,Inter,2,3,5,0
5/20/2018,Milan,Fiorentina,5,1,6,1
5/20/2018,Napoli,Crotone,2,1,3,1
5/20/2018,Sassuolo,Roma,0,1,1,0
5/20/2018,Spal,Sampdoria,3,1,4,1
5/20/2018,Udinese,Bologna,1,0,1,1
